species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Mulinum laxum,mulinum laxum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Mulinum leoninum,mulinum leoninum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Mulinum chillanense,mulinum chillanense,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Mulinum ovalleanum,mulinum ovalleanum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Mulinum gandogeri,mulinum gandogeri,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Mulinum hirsutum,mulinum hirsutum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Schizeilema ranunculus,schizeilema ranunculus,Hierba,herbacea,nativa,True,Azorella ranunculus,False
Pozoa ranunculus,pozoa ranunculus,Hierba,herbacea,nativa,True,Azorella ranunculus,False
Selinum acaule,selinum acaule,Subarbusto,lenosa,nativa,True,Azorella ruizii,False
Mulinum acaule,mulinum acaule,Subarbusto,lenosa,nativa,True,Azorella ruizii,False
Laretia acaulis,laretia acaulis,Subarbusto,lenosa,nativa,True,Azorella ruizii,False
Azorella antipoda,azorella antipoda,Subarbusto,lenosa,nativa,True,Azorella selago,False
Azorella maquariensis,azorella maquariensis,Subarbusto,lenosa,nativa,True,Azorella selago,False
Fragosa spinosa,fragosa spinosa,Hierba,herbacea,endemica,True,Azorella spinosa,False
Mulinum cuneatum,mulinum cuneatum,Hierba,herbacea,endemica,True,Azorella spinosa,False
Azorella pectinata,azorella pectinata,Hierba,herbacea,endemica,True,Azorella spinosa,False
